LinkS;TranspS;Instance;Demands;OF;Formulation;Reach;OSNR;Cuts
1x;random;10nodes_22links_10_22;80;1p;23;1;1;0
1x;random;10nodes_22links_10_22;80;1p;3;1;1;0
1x;random;10nodes_22links_10_22;80;4;0;1;1;0
1x;random;10nodes_22links_10_22;80;4;23;1;1;0
1x;random;10nodes_22links_10_22;80;4;3;1;1;0
1x;random;10nodes_22links_10_22;80;10;0;1;1;0
1x;random;10nodes_22links_10_22;80;10;23;1;1;0
1x;random;10nodes_22links_10_22;80;10;3;1;1;0
1x;random;10nodes_22links_10_22;50;1p;0;1;1;0
1x;random;10nodes_22links_10_22;50;1p;23;1;1;0
1x;random;10nodes_22links_10_22;50;1p;3;1;1;0
1x;random;10nodes_22links_10_22;50;4;0;1;1;0
1x;random;10nodes_22links_10_22;50;4;23;1;1;0
1x;random;10nodes_22links_10_22;50;4;3;1;1;0
1x;random;10nodes_22links_10_22;50;10;0;1;1;0
1x;random;10nodes_22links_10_22;50;10;23;1;1;0
1x;random;10nodes_22links_10_22;50;10;3;1;1;0
1x;random;10nodes_22links_10_22;45;1p;0;1;1;0
1x;random;10nodes_22links_10_22;45;1p;23;1;1;0
1x;random;10nodes_22links_10_22;45;1p;3;1;1;0
1x;random;10nodes_22links_10_22;45;4;0;1;1;0
1x;random;10nodes_22links_10_22;45;4;23;1;1;0
1x;random;10nodes_22links_10_22;45;4;3;1;1;0
1x;random;10nodes_22links_10_22;45;10;0;1;1;0
1x;random;10nodes_22links_10_22;45;10;23;1;1;0
1x;random;10nodes_22links_10_22;45;10;3;1;1;0
1x;random;10nodes_22links_10_22;50-b;1p;0;1;1;0
1x;random;10nodes_22links_10_22;50-b;1p;23;1;1;0
1x;random;10nodes_22links_10_22;50-b;1p;3;1;1;0
1x;random;10nodes_22links_10_22;50-b;4;0;1;1;0
1x;random;10nodes_22links_10_22;50-b;4;23;1;1;0
1x;random;10nodes_22links_10_22;50-b;4;3;1;1;0
1x;random;10nodes_22links_10_22;50-b;10;0;1;1;0
1x;random;10nodes_22links_10_22;50-b;10;23;1;1;0
1x;random;10nodes_22links_10_22;50-b;10;3;1;1;0
1x;random;10nodes_22links_10_22;30;1p;0;1;1;0
1x;random;10nodes_22links_10_22;30;1p;23;1;1;0
1x;random;10nodes_22links_10_22;30;1p;3;1;1;0
1x;random;10nodes_22links_10_22;30;4;0;1;1;0
1x;random;10nodes_22links_10_22;30;4;23;1;1;0
1x;random;10nodes_22links_10_22;30;4;3;1;1;0
1x;random;10nodes_22links_10_22;30;10;0;1;1;0
1x;random;10nodes_22links_10_22;30;10;23;1;1;0
1x;random;10nodes_22links_10_22;30;10;3;1;1;0
1x;random;German_17_26;50;1p;0;1;1;0
1x;random;German_17_26;50;1p;23;1;1;0
1x;random;German_17_26;50;1p;3;1;1;0
1x;random;German_17_26;50;4;0;1;1;0
1x;random;German_17_26;50;4;23;1;1;0
1x;random;German_17_26;50;4;3;1;1;0
1x;random;German_17_26;50;10;0;1;1;0
1x;random;German_17_26;50;10;23;1;1;0
1x;random;German_17_26;50;10;3;1;1;0
1x;random;German_17_26;45;1p;0;1;1;0
1x;random;German_17_26;45;1p;23;1;1;0
1x;random;German_17_26;45;1p;3;1;1;0
1x;random;German_17_26;45;4;0;1;1;0
1x;random;German_17_26;45;4;23;1;1;0
1x;random;German_17_26;45;4;3;1;1;0
1x;random;German_17_26;45;10;0;1;1;0
1x;random;German_17_26;45;10;23;1;1;0
1x;random;German_17_26;45;10;3;1;1;0
1x;random;German_17_26;30;1p;0;1;1;0
1x;random;German_17_26;30;1p;23;1;1;0
1x;random;German_17_26;30;1p;3;1;1;0
1x;random;German_17_26;30;4;0;1;1;0
1x;random;German_17_26;30;4;23;1;1;0
1x;random;German_17_26;30;4;3;1;1;0
1x;random;German_17_26;30;10;0;1;1;0
1x;random;German_17_26;30;10;23;1;1;0
1x;random;German_17_26;30;10;3;1;1;0
1x;random;DT_12_20;72;1p;0;1;1;0
1x;random;DT_12_20;72;1p;23;1;1;0
1x;random;DT_12_20;72;1p;3;1;1;0
1x;random;DT_12_20;72;4;0;1;1;0
1x;random;DT_12_20;72;4;23;1;1;0
1x;random;DT_12_20;72;4;3;1;1;0
1x;random;DT_12_20;72;10;0;1;1;0
1x;random;DT_12_20;72;10;23;1;1;0
1x;random;DT_12_20;72;10;3;1;1;0
1x;random;DT_12_20;36;1p;0;1;1;0
1x;random;DT_12_20;36;1p;23;1;1;0
1x;random;DT_12_20;36;1p;3;1;1;0
1x;random;DT_12_20;36;4;0;1;1;0
1x;random;DT_12_20;36;4;23;1;1;0
1x;random;DT_12_20;36;4;3;1;1;0
1x;random;DT_12_20;36;10;0;1;1;0
1x;random;DT_12_20;36;10;23;1;1;0
1x;random;DT_12_20;36;10;3;1;1;0
1x;random;DT_12_20;66;1p;0;1;1;0
1x;random;DT_12_20;66;1p;23;1;1;0
1x;random;DT_12_20;66;1p;3;1;1;0
1x;random;DT_12_20;66;4;0;1;1;0
1x;random;DT_12_20;66;4;23;1;1;0
1x;random;DT_12_20;66;4;3;1;1;0
1x;random;DT_12_20;66;10;0;1;1;0
1x;random;DT_12_20;66;10;23;1;1;0
1x;random;DT_12_20;66;10;3;1;1;0
1x;random;DT_12_20;50;1p;0;1;1;0
1x;random;DT_12_20;50;1p;23;1;1;0
1x;random;DT_12_20;50;1p;3;1;1;0
1x;random;DT_12_20;50;4;0;1;1;0
1x;random;DT_12_20;50;4;23;1;1;0
1x;random;DT_12_20;50;4;3;1;1;0
1x;random;DT_12_20;50;10;0;1;1;0
1x;random;DT_12_20;50;10;23;1;1;0
1x;random;DT_12_20;50;10;3;1;1;0
1x;random;DT_12_20;30;1p;0;1;1;0
1x;random;DT_12_20;30;1p;23;1;1;0
1x;random;DT_12_20;30;1p;3;1;1;0
1x;random;DT_12_20;30;4;0;1;1;0
1x;random;DT_12_20;30;4;23;1;1;0
1x;random;DT_12_20;30;4;3;1;1;0
1x;random;DT_12_20;30;10;0;1;1;0
1x;random;DT_12_20;30;10;23;1;1;0
1x;random;DT_12_20;30;10;3;1;1;0
